match_url,teamName,tableType,player,kd,plus_minus,adr,kast,rating
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,Liquid,table totalstats,Justin 'jks' Savagejks,37-28,+9,91.1,70.7%,1.24
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,Liquid,table totalstats,Guy 'NertZ' IluzNertZ,28-30,-2,70.6,75.6%,0.97
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,Liquid,table totalstats,Roland 'ultimate' Tomkowiakultimate,24-30,-6,69.3,65.9%,0.92
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,Liquid,table totalstats,Russel 'Twistzz' Van DulkenTwistzz,22-30,-8,71.1,65.9%,0.87
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,Liquid,table totalstats,Keith 'NAF' MarkovicNAF,22-30,-8,63.5,61.0%,0.74
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,Liquid,table ctstats hidden,Justin 'jks' Savagejks,22-15,+7,86.4,79.2%,1.24
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,Liquid,table ctstats hidden,Russel 'Twistzz' Van DulkenTwistzz,18-15,+3,92.9,75.0%,1.18
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,Liquid,table ctstats hidden,Roland 'ultimate' Tomkowiakultimate,17-17,0,81.4,70.8%,1.10
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,Liquid,table ctstats hidden,Guy 'NertZ' IluzNertZ,18-16,+2,75.4,79.2%,1.07
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,Liquid,table ctstats hidden,Keith 'NAF' MarkovicNAF,15-15,0,80.5,70.8%,0.92
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,Liquid,table tstats hidden,Justin 'jks' Savagejks,15-13,+2,97.6,58.8%,1.25
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,Liquid,table tstats hidden,Guy 'NertZ' IluzNertZ,10-14,-4,63.8,70.6%,0.82
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,Liquid,table tstats hidden,Roland 'ultimate' Tomkowiakultimate,7-13,-6,52.2,58.8%,0.68
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,Liquid,table tstats hidden,Keith 'NAF' MarkovicNAF,7-15,-8,39.6,47.1%,0.49
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,Liquid,table tstats hidden,Russel 'Twistzz' Van DulkenTwistzz,4-15,-11,40.4,52.9%,0.45
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table totalstats,Garidmagnai 'bLitz' ByambasurenbLitz,33-24,+9,90.6,75.6%,1.31
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table totalstats,Munkhbold 'Senzu' AzbayarSenzu,40-29,+11,82.2,65.9%,1.25
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table totalstats,Usukhbayar '910' Banzragch910,31-24,+7,86.8,73.2%,1.23
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table totalstats,Ayush 'mzinho' Batboldmzinho,25-28,-3,70.9,61.0%,1.03
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table totalstats,Sodbayar 'Techno' MunkhboldTechno,17-28,-11,54.0,61.0%,0.75
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table ctstats hidden,Garidmagnai 'bLitz' ByambasurenbLitz,20-6,+14,125.9,94.1%,1.99
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table ctstats hidden,Munkhbold 'Senzu' AzbayarSenzu,20-11,+9,103.6,70.6%,1.48
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table ctstats hidden,Sodbayar 'Techno' MunkhboldTechno,13-9,+4,79.8,70.6%,1.20
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table ctstats hidden,Usukhbayar '910' Banzragch910,9-8,+1,69.1,76.5%,1.11
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table ctstats hidden,Ayush 'mzinho' Batboldmzinho,6-9,-3,48.6,58.8%,0.80
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table tstats hidden,Usukhbayar '910' Banzragch910,22-16,+6,99.3,70.8%,1.31
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table tstats hidden,Ayush 'mzinho' Batboldmzinho,19-19,0,86.6,62.5%,1.20
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table tstats hidden,Munkhbold 'Senzu' AzbayarSenzu,20-18,+2,67.0,62.5%,1.09
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table tstats hidden,Garidmagnai 'bLitz' ByambasurenbLitz,13-18,-5,65.6,62.5%,0.83
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table tstats hidden,Sodbayar 'Techno' MunkhboldTechno,4-19,-15,35.8,54.2%,0.44
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table totalstats,Munkhbold 'Senzu' AzbayarSenzu,51-39,+12,93.7,76.2%,1.33
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table totalstats,Garidmagnai 'bLitz' ByambasurenbLitz,50-40,+10,91.6,66.7%,1.20
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table totalstats,Usukhbayar '910' Banzragch910,45-39,+6,71.1,74.6%,1.11
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table totalstats,Sodbayar 'Techno' MunkhboldTechno,33-39,-6,56.2,71.4%,0.94
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table totalstats,Ayush 'mzinho' Batboldmzinho,41-42,-1,64.1,66.7%,0.93
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table ctstats hidden,Munkhbold 'Senzu' AzbayarSenzu,35-23,+12,98.2,76.9%,1.38
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table ctstats hidden,Sodbayar 'Techno' MunkhboldTechno,26-20,+6,66.7,79.5%,1.11
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table ctstats hidden,Garidmagnai 'bLitz' ByambasurenbLitz,25-25,0,81.1,66.7%,0.99
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table ctstats hidden,Usukhbayar '910' Banzragch910,24-24,0,68.3,74.4%,0.98
